"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2017","1,285.90","1,285.30","1,287.60","1,282.00","0.92K","0.83%"
"Apr 12, 2017","1,275.30","1,275.00","1,285.10","1,272.00","0.49K","0.32%"
"Apr 11, 2017","1,271.20","1,254.50","1,273.50","1,254.50","0.40K","1.61%"
"Apr 10, 2017","1,251.10","1,252.70","1,255.20","1,246.80","0.18K","-0.26%"
"Apr 07, 2017","1,254.30","1,249.50","1,269.10","1,249.50","0.45K","0.32%"
"Apr 06, 2017","1,250.30","1,256.10","1,257.50","1,249.00","0.17K","0.39%"
"Apr 05, 2017","1,245.40","1,255.40","1,255.40","1,243.00","0.91K","-0.76%"
"Apr 04, 2017","1,255.00","1,253.10","1,260.30","1,253.00","0.72K","0.34%"
"Apr 03, 2017","1,250.80","1,247.50","1,252.40","1,243.60","1.16K","0.28%"
"Mar 31, 2017","1,247.30","1,242.10","1,248.80","1,238.70","8.22K","0.18%"
"Mar 30, 2017","1,245.00","1,253.10","1,253.60","1,241.10","51.33K","-0.67%"
"Mar 29, 2017","1,253.40","1,252.20","1,252.20","1,252.10","0.04K","-0.15%"
"Mar 28, 2017","1,255.30","1,255.90","1,255.90","1,255.90","0.02K","-0.01%"
"Mar 27, 2017","1,255.40","1,255.80","1,257.70","1,253.80","0.07K","0.58%"
"Mar 24, 2017","1,248.20","1,248.00","1,248.30","1,247.60","0.00K","0.10%"
"Mar 23, 2017","1,246.90","1,246.40","1,247.50","1,244.80","0.02K","-0.19%"
"Mar 22, 2017","1,249.30","1,247.90","1,249.50","1,247.70","0.00K","0.26%"
"Mar 21, 2017","1,246.10","1,226.40","1,245.20","1,226.40","0.01K","1.01%"
"Mar 20, 2017","1,233.60","1,229.30","1,234.40","1,229.30","0.02K","0.31%"
"Mar 17, 2017","1,229.80","1,227.10","1,230.90","1,227.10","0.03K","0.27%"
"Mar 16, 2017","1,226.50","1,222.20","1,231.40","1,222.20","0.05K","2.20%"
"Mar 15, 2017","1,200.10","1,198.20","1,221.20","1,197.70","0.04K","-0.15%"
"Mar 14, 2017","1,201.90","1,203.10","1,205.90","1,196.80","0.02K","-0.04%"
